Date,Ticker,Trade Type,Shares Bought,Shares Sold,Price,RSI Value,Volume,Profit
2014-03-28,FB,0,165.0,0,60.64500045776367,34.02664942082663,67052000,0
2014-04-03,COST,9,0,85.0,111.71500015258789,39.43909892498626,2328900,-512.5498962402344
2014-04-08,KMX,9,0,213.0,44.045000076293945,37.85307112761463,1736600,-620.8951950073242
2014-04-08,AMZN,0,34.0,0,323.2200012207031,34.01374300456108,6577600,0
2014-04-21,MRO,9,0,291.0,36.65500068664551,67.42558947433866,5731900,634.3800888061523
2014-04-21,JPM,0,202.0,0,55.20000076293945,31.604144120515627,12384800,0
2014-05-06,WST,9,0,218.0,43.375,46.244782596488704,266700,-543.9097671508789
2014-05-06,UNH,0,146.0,0,75.24499893188477,38.156224744054555,4728200,0
2014-05-09,EXPD,1,0,262.0,43.15999984741211,75.50121213742236,1468000,1169.8300399780273
2014-05-09,BAC,0,751.0,0,14.829999923706055,32.68463261675302,86751600,0
2014-06-05,GOOG,9,0,18.0,548.1949157714844,56.78969412775733,1689125,-457.60528564453125
2014-06-05,BMY,0,241.0,0,46.994998931884766,33.51482784310143,16331100,0
2014-06-09,A,9,0,276.0,42.30329132080078,72.89281214092826,1661942,718.6266403198242
2014-06-09,EBAY,0,567.0,0,20.671297073364258,33.706041443452236,52664278,0
2014-06-11,JPM,9,0,202.0,57.385000228881836,63.25995079744139,14232200,441.3698921203613
2014-06-11,MPC,0,275.0,0,42.727500915527344,34.27639506425896,4279000,0
2014-06-30,PG,0,0,124.0,78.94499969482422,36.06919706421817,10297700,-195.3000946044922
2014-06-30,NVDA,0,2514.0,0,4.612499952316284,43.396186414124614,18051200,0
2014-07-07,UNH,9,0,146.0,82.44499969482422,60.67287999844022,2558500,1051.2001113891602
2014-07-07,LMT,0,75.0,0,158.7100067138672,35.025695676762695,1164700,0
2014-07-15,KSU,9,0,108.0,112.86000061035156,71.54677399629594,802000,2231.820098876953
2014-07-15,ACN,0,152.0,0,79.47999954223633,34.023347098701706,3195000,0
2014-07-25,FB,9,0,165.0,75.16500091552734,74.45933305118147,45917000,2395.800075531006
2014-07-25,QCOM,0,162.0,0,76.20000076293945,34.835404078642966,13574800,0
2014-07-25,LMT,9,0,75.0,169.94000244140625,71.44184960673618,2112300,842.2496795654297
2014-07-25,MCD,0,116.0,0,95.58499908447266,26.65998168154138,4992500,0
2014-07-30,BMY,9,0,241.0,50.989999771118164,71.59530579367461,9151700,962.795202255249
2014-07-30,AXP,0,134.0,0,91.18000030517578,30.05540934262345,5069300,0
2014-08-15,MPC,9,0,275.0,44.357500076293945,71.05115622622577,6883400,448.24976921081543
2014-08-15,CSCO,0,503.0,0,24.46500015258789,34.87574005221363,33624000,0
2014-08-22,EBAY,9,0,567.0,23.400673866271973,68.16355117525592,27889963,1547.5566415786743
2014-08-22,WBA,0,207.0,0,61.220001220703125,32.667723678845505,6176100,0
2014-08-26,BAC,9,0,751.0,16.389999389648438,71.53489637098991,73323400,1171.5595989227295
2014-08-26,MSI,0,208.0,0,60.70000076293945,29.607897896859143,2413500,0
2014-10-01,AMZN,9,0,34.0,318.86000061035156,38.71222001513775,3089100,-148.24002075195312
2014-10-01,GL,0,237.0,0,52.03999900817871,33.318215178256025,1069100,0
2014-10-08,AXP,9,0,134.0,86.23500061035156,48.05205167508448,4238200,-662.6299591064453
2014-10-08,GD,0,101.0,0,121.43000030517578,45.827128623510696,1767100,0
2014-10-13,NVDA,0,0,2514.0,4.258749961853027,23.620510168613166,39762800,-889.3274760246277
2014-10-13,MSFT,0,274.0,0,44.025001525878906,34.93641742808674,37100200,0
2014-10-14,QCOM,9,0,162.0,72.01499938964844,38.58197475210389,10488400,-677.9702224731445
2014-10-14,AMZN,0,39.0,0,308.9949951171875,36.310150127008285,3385800,0
2014-10-16,ACN,0,0,152.0,75.5999984741211,35.43844845186051,4648200,-589.7601623535156
2014-10-16,GOOGL,0,22.0,0,532.9700012207031,28.94950153510227,3805000,0
2014-10-16,MCD,9,0,116.0,89.81499862670898,33.56749648552406,7526400,-669.3200531005859
2014-10-16,AXP,0,133.0,0,80.13999938964844,27.15585842294017,9159300,0
2014-10-28,GD,9,0,101.0,135.17000579833984,74.88301753364094,2041100,1387.7405548095703
2014-10-28,IBM,0,77.0,0,162.70000457763672,23.59595912792541,7895300,0
2014-11-05,MSI,9,0,208.0,65.1349983215332,58.93178366737684,4288400,922.4794921875
2014-11-05,NEM,0,710.0,0,18.190000534057617,20.10041451636461,15489800,0
2014-11-07,WBA,9,0,207.0,66.56999969482422,73.02414649463952,4773800,1107.4496841430664
2014-11-07,QCOM,0,185.0,0,69.91499710083008,31.670408610449925,24945900,0
