Date,Open,High,Low,Close,Adj Close,Volume,Up Move,Down Move,Average Up,Average Down,Relative Strength,RSI
1/30/2017,228.1699982,228.1999969,226.4100037,227.5500031,209.6629486,79737300,0,1.419998169,0.436073055,0.33816976,1.289509313,56.32251878
1/31/2017,226.9799957,227.6000061,226.3200073,227.5299988,209.6445007,75880800,0,0.020004272,0.404924979,0.315443654,1.283668175,56.21080108
2/1/2017,227.5299988,228.5899963,226.9400024,227.6199951,209.7274628,79117700,0.089996338,0,0.382430076,0.292911964,1.305614393,56.62761289
2/2/2017,227.6199951,228.1000061,226.8200073,227.7700043,209.8656464,69657600,0.150009155,0,0.365828582,0.271989681,1.345009048,57.35624131
2/3/2017,228.8200073,229.5500031,228.4600067,229.3399963,211.3122406,80563200,1.569992065,0,0.451840259,0.252561847,1.789028174,64.14521699
2/6/2017,228.8699951,229.3300018,228.5399933,228.9299927,210.9344482,57790100,0,0.410003662,0.419565955,0.263807691,1.590423517,61.39627388
2/7/2017,229.3800049,229.6600037,228.7200012,228.9400024,210.9436798,57931200,0.010009766,0,0.390311942,0.244964284,1.593342242,61.43972115
2/8/2017,228.9400024,229.3899994,228.3099976,229.2400055,211.220108,51566200,0.300003052,0,0.383861307,0.227466835,1.687548456,62.79136855
2/9/2017,229.2400055,230.9499969,229.2400055,230.6000061,212.4731903,65955200,1.36000061,0,0.453585543,0.211219204,2.147463553,68.22838507
2/10/2017,231,231.7700043,230.6199951,231.5099945,213.3116302,66015900,0.909988403,0,0.486185747,0.196132118,2.478868589,71.2550223
2/13/2017,232.0800018,233.0700073,232.0500031,232.7700043,214.4726257,55182100,1.260009766,0,0.541458891,0.182122681,2.973044805,74.83038705
2/14/2017,232.5599976,233.7100067,232.1600037,233.6999969,215.3295135,71109000,0.929992676,0,0.569211304,0.169113918,3.365845404,77.09492876
2/15/2017,233.4499969,235.1399994,233.3899994,234.9199982,216.453598,86785800,1.220001221,0,0.615696298,0.157034353,3.920774583,79.67799615
2/16/2017,234.9499969,235.1600037,233.8500061,234.7200012,216.2693176,84722400,0,0.199996948,0.571717991,0.160103109,3.570936213,78.12264373
2/17/2017,233.9499969,235.0899963,233.9299927,235.0899963,216.6102448,77204100,0.369995117,0,0.557309215,0.148667173,3.748703921,78.94162246
2/21/2017,235.5200043,236.6900024,235.5099945,236.4900055,217.9002075,88946100,1.400009155,0,0.617502068,0.138048089,4.473093911,81.72879881
2/22/2017,236.0200043,236.5399933,235.8300018,236.2799988,217.7066956,62115200,0,0.210006714,0.573394777,0.143187991,4.004489293,80.01794106
2/23/2017,236.8800049,236.8999939,235.5599976,236.4400024,217.8540955,74615900,0.160003662,0,0.54386684,0.132960277,4.090446041,80.35535605
2/24/2017,235.4600067,236.7899933,235.4100037,236.7400055,218.1305389,82381600,0.300003052,0,0.526447998,0.123463115,4.264010343,81.00307684
2/27/2017,236.6399994,237.3099976,236.3500061,237.1100006,218.4714508,56515400,0.369995117,0,0.515272792,0.114644321,4.494533953,81.80009427
2/28/2017,236.6699982,236.9499969,236.0200043,236.4700012,217.8817902,96961900,0,0.63999939,0.478467593,0.152169683,3.144303017,75.87049026
3/1/2017,238.3899994,240.3200073,238.3699951,239.7799988,220.9315796,149158200,3.309997559,0,0.680719733,0.14130042,4.817535109,82.81058934
3/2/2017,239.5599976,239.5700073,238.2100067,238.2700043,219.5402985,70246000,0,1.509994507,0.632096895,0.239064283,2.644045722,72.5579733
3/3/2017,238.1699982,238.6100006,237.7299957,238.4199982,219.6784973,81974300,0.149993896,0,0.597660967,0.221988263,2.692308858,72.91667522
3/6/2017,237.5,238.1199951,237.0099945,237.7100067,219.0243073,55391500,0,0.709991455,0.554970898,0.256845634,2.160717663,68.36161573
